Kanji	Furigana	Romaji	Meaning
会う	あう	au	to meet
青い	あおい	aoi	blue
赤い	あかい	akai	red
明るい	あかるい	akarui	light, bright
秋	あき	aki	autumn, fall
開く	あく	aku	open
開ける	あける	akeru	to open
朝	あさ	asa	morning
朝ご飯	あさごはん	asagohan	breakfast
足	あし	ashi	leg, foot
明日	あした	ashita	tomorrow
遊ぶ	あそぶ	asobu	to play
温かい	あたたかい	atatakai	warm
頭	あたま	atama	head
新しい	あたらしい	atarashii	new
暑い	あつい	atsui	hot (air)
厚い	あつい	atsui	thick
後	あと	ato	later, after
貴方	あなた	anata	you
兄	あに	ani	older brother
姉	あね	ane	older sister
浴びる	あびる	abiru	to take a shower
危ない	あぶない	abunai	dangerous
甘い	あまい	amai	sweet
雨	あめ	ame	rain
洗う	あらう	arau	to wash
有る	ある	aru	to be, to exist
歩く	あるく	aruku	to walk
良い	いい / よい	ii, yoi	good
言う	いう	iu	to say, to tell
家	いえ	ie	house, home
行く	いく	iku	to go
池	いけ	ike	pond
医者	いしゃ	isha	doctor
椅子	いす	isu	chair
忙しい	いそがしい	isogashii	to be busy
痛い	いたい	itai	to be painful
一	いち	ichi	one
一日	いちにち	ichinichi	one day
一番	いちばん	ichiban	No. 1, the best, the first
五日	いつか	itsuka	the 5th day of the month, 5 days
一緒	いっしょ	issho	together
五つ	いつつ	itsutsu	five
今	いま	ima	now
意味	いみ	imi	meaning
妹	いもうと	imouto	someone’s younger sister
入口	いりぐち	iriguchi	entrance
入れる	いれる	ireru	to insert, to put in
色	いろ	iro	color
色々	いろいろ	iroiro	various
上	うえ	ue	top, on, above
後ろ	うしろ	ushiro	back, rear, behind
薄い	うすい	usui	thin
歌	うた	uta	song
歌う	うたう	utau	to sing
内	うち	uchi	home
生まれる	うまれる	umareru	to be born
海	うみ	umi	sea
売る	うる	uru	to sell
上着	うわぎ	uwagi	coat, jacket
絵	え	e	picture
映画	えいが	eiga	movie
映画館	えいがかん	eigakan	cinema
英語	えいご	eigo	English language
駅	えき	eki	station
円	えん	en	Yen
鉛筆	えんぴつ	enpitsu	pencil
御	お	o	honorific prefix
美味しい	おいしい	oishii	tasty, delicious
大きい	おおきい	ookii	big
お母さん	おかあさん	okaasan	my own mother
お菓子	おかし	okashi	confectionary, cake
お金	おかね	okane	money
起きる	おきる	okiru	to get up, to stand up
置く	おく	oku	to put, to place
奥さん	おくさん	okusan	someone’s wife
送る	おくる	okuru	to send
お酒	おさけ	osake	alcohol, sake
お皿	おさら	osara	plate
伯父さん	おじさん	ojisan	uncle
押す	おす	osu	to push
遅い	おそい	osoi	late, slow
お茶	おちゃ	ocha	tea
お手洗い	おてあらい	otearai	toilet, lavatory
お父さん	おとうさん	otousan	father
弟	おとうと	otouto	someone’s younger brother
男	おとこ	otoko	man
男の子	おとこのこ	otokonoko	boy
一昨日	おととい	ototoi	the day before yesterday
一昨年	おととし	ototoshi	the year before last
大人	おとな	otona	adult
お腹	おなか	onaka	stomach
同じ	おなじ	onaji	same
お兄さん	おにいさん	oniisan	someone’s elder brother
お姉さん	おねえさん	oneesan	someone’s elder sister
伯母さん	おばさん	obasan	aunt
お弁当	おべんとう	obentou	lunchbox
覚える	おぼえる	oboeru	to memorize, to remember
重い	おもい	omoi	heavy
面白い	おもしろい	omoshiroi	interesting, funny
泳ぐ	およぐ	oyogu	to swim
降りる	おりる	oriru	to get off
終わる	おわる	owaru	to end
音楽	おんがく	ongaku	music
女	おんな	onna	woman
女の子	おんなのこ	onnanoko	girl
外国	がいこく	gaikoku	foreign country
外国人	がいこくじん	gaikokujin	foreigner
会社	かいしゃ	kaisha	company, enterprise
階段	かいだん	kaidan	stairs
買物	かいもの	kaimono	shopping
買う	かう	kau	to buy
返す	かえす	kaesu	to return an object
帰る	かえる	kaeru	to return home
顔	かお	kao	face
鍵	かぎ	kagi	key
書く	かく	kaku	to write
学生	がくせい	gakusei	student
傘	かさ	kasa	umbrella
貸す	かす	kasu	to lend
風	かぜ	kaze	wind
風邪	かぜ	kaze	a cold
家族	かぞく	kazoku	family
方	かた	kata	person (polite)
片仮名	かたかな	katakana	Katakana
一月	いちがつ	ichigatsu	January
二月	にがつ	nigatsu	February
三月	さんがつ	sangatsu	March
四月	しがつ	shigatsu	April
五月	ごがつ	gogatsu	May
六月	ろくがつ	rokugatsu	June
七月	しちがつ	shichigatsu	July
八月	はちがつ	hachigatsu	August
九月	くがつ	kugatsu	September
十月	じゅうがつ	juugatsu	October
十一月	じゅういちがつ	juuichigatsu	November
十二月	じゅうにがつ	juunigatsu	December
学校	がっこう	gakkou	school
角	かど	kado	corner
家内	かない	kanai	my wife
鞄	かばん	kaban	bag
花瓶	かびん	kabin	vase
冠る	かぶる	kaburu	to put on a hat
紙	かみ	kami	paper
火曜日	かようび	kayoubi	Tuesday
辛い	からい	karai	hot, spicy
体	からだ	karada	body
借りる	かりる	kariru	to borrow
軽い	かるい	karui	light (not heavy)
川	かわ	kawa	river
可愛い	かわいい	kawaii	cute, pretty
漢字	かんじ	kanji	Kanji character
木	き	ki	tree
黄色い	きいろい	kiiroi	yellow
消える	きえる	kieru	to go out, to vanish
聞く	きく	kiku	to hear, to listen, to ask
北	きた	kita	north
汚い	きたない	kitanai	dirty
喫茶店	きっさてん	kissaten	coffee shop
切手	きって	kitte	stamp
切符	きっぷ	kippu	ticket
昨日	きのう	kinou	yesterday
九	きゅう	kyuu	nine
牛肉	ぎゅうにく	gyuuniku	beef
牛乳	ぎゅうにゅう	gyuunyuu	milk
今日	きょう	kyou	today
教室	きょうしつ	kyoushitsu	class room
兄弟	きょうだい	kyoudai	siblings
去年	きょねん	kyonen	last year
嫌い	きらい	kirai	unpleasant, not likable
切る	きる	kiru	to cut
着る	きる	kiru	to wear, to put on
来る	くる	kuru	to come
銀行	ぎんこう	ginkou	bank
金曜日	きんようび	kinyoubi	Friday
九	く	ku	nine
薬	くすり	kusuri	medicine
下さい	ください	kudasai	give me…
果物	くだもの	kudamono	fruit
口	くち	kuchi	mouth
靴	くつ	kutsu	shoe
靴下	くつした	kutsushita	socks
国	くに	kuni	country
曇り	くもり	kumori	cloudy weather
暗い	くらい	kurai	dark
車	くるま	kuruma	car
黒い	くろい	kuroi	black
今朝	けさ	kesa	this morning
消す	けす	kesu	to turn off, switch off
結婚	けっこん	kekkon	marriage
月曜日	げつようび	getsuyoubi	Monday
玄関	げんかん	genkan	entrance of a house
元気	げんき	genki	vigor, health, vitality
五	ご	go	five
公園	こうえん	kouen	park, large garden
交番	こうばん	kouban	police box
声	こえ	koe	voice
午後	ごご	gogo	afternoon
九日	ここのか	kokonoka	9th day of a month, 9 days
九つ	ここのつ	kokonotsu	nine
ご主人	ごしゅじん	goshujin	someone else’s husband
午前	ごぜん	gozen	morning, a.m.
答える	こたえる	kotaeru	to answer
今年	ことし	kotoshi	this year
言葉	ことば	kotoba	phrase, language
子供	こども	kodomo	child
御飯	ごはん	gohan	meal, cooked rice
困る	こまる	komaru	to be in trouble
今月	こんげつ	kongetsu	this month
今週	こんしゅう	konshuu	this week
今晩	こんばん	konban	this evening
魚	さかな	sakana	fish
先	さき	saki	earlier, former
咲く	さく	saku	to blossom
作文	さくぶん	sakubun	composition
冊	〜さつ	~satsu	counter for books
雑誌	ざっし	zasshi	magazine
砂糖	さとう	satou	sugar
寒い	さむい	samui	cold
再来年	さらいねん	sarainen	the year after next year
三	さん	san	three
散歩	さんぽ	sanpo	to take a walk
四	し	shi	four
塩	しお	shio	salt
時間	じかん	jikan	time
仕事	しごと	shigoto	work
辞書	じしょ	jisho	dictionary
静か	しずか	shizuka	quiet
下	した	shita	under, below
質問	しつもん	shitsumon	question
自転車	じてんしゃ	jitensha	bicycle
自動車	じどうしゃ	jidousha	car, vehicle
死ぬ	しぬ	shinu	to die, to pas away
字引	じびき	jibiki	dictionary
自分	じぶん	jibun	oneself
閉まる	しまる	shimaru	to close
閉める	しめる	shimeru	to close
締める	しめる	shimeru	to fasten a seatbelt
写真	しゃしん	shashin	photo
十	じゅう	juu	ten
~週間	〜しゅうかん	~shuukan	… weeks
授業	じゅぎょう	jugyou	lesson, class
宿題	しゅくだい	shukudai	homework
上手	じょうず	jouzu	to be good at something
丈夫	じょうぶ	joubu	to be strong, durable
醤油	しょうゆ	shouyu	soy sauce
食堂	しょくどう	shokudou	dining room, canteen
知る	しる	shiru	to know
白い	しろい	shiroi	white
新聞	しんぶん	shinbun	newspaper
水曜日	すいようび	suiyoubi	Wednesday
吸う	すう	suu	to breathe, to smoke
好き	すき	suki	to like
少し	すこし	sukoshi	a little
涼しい	すずしい	suzushii	cool
住む	すむ	sumu	to live, to reside somewhere
座る	すわる	suwaru	to sit
背	せい	sei	height
生徒	せいと	seito	student
石鹸	せっけん	sekken	soap
背広	せびろ	sebiro	jacket, suit
狭い	せまい	semai	narrow
千	せん	sen	1,000, thousand
先月	せんげつ	sengetsu	last month
先週	せんしゅう	senshuu	last week
先生	せんせい	sensei	teacher
洗濯	せんたく	sentaku	washing, to wash
全部	ぜんぶ	zenbu	all
掃除	そうじ	souji	to clean
外	そと	soto	outside
空	そら	sora	sky
大学	だいがく	daigaku	university
大使館	たいしかん	taishikan	embassy
大丈夫	だいじょうぶ	daijoubu	OK
大好き	だいすき	daisuki	to be very fond of
大切	たいせつ	taisetsu	very important
台所	だいどころ	daidokoro	kitchen
大変	たいへん	taihen	very, serious
高い	たかい	takai	high, expensive
沢山	たくさん	takusan	many, much
出す	だす	dasu	to take out, hand in
立つ	たつ	tatsu	to stand
建物	たてもの	tatemono	building
楽しい	たのしい	tanoshii	pleasant, enjoyable
頼む	たのむ	tanomu	to ask, to request
多分	たぶん	tabun	perhaps, probably
食べ物	たべもの	tabemono	food
食べる	たべる	taberu	to eat
卵	たまご	tamago	egg
誰	だれ	dare	who?
誕生日	たんじょうび	tanjoubi	birthday
小さい	ちいさい	chiisai	small
近い	ちかい	chikai	near, close
違う	ちがう	chigau	different
地下鉄	ちかてつ	chikatetsu	subway
地図	ちず	chizu	map
父	ちち	chichi	my father
茶色	ちゃいろ	chairo	brown
茶碗	ちゃわん	chawan	rice bowl
一日	ついたち	tsuitachi	the 1st day of a month
使う	つかう	tsukau	to use
疲れる	つかれる	tsukareru	to get tired
次	つぎ	tsugi	next
着く	つく	tsuku	to arrive
机	つくえ	tsukue	table
作る	つくる	tsukuru	to make, to produce
点ける	つける	tsukeru	to turn on
勤める	つとめる	tsutomeru	to work for someone
詰らない	つまらない	tsumaranai	uninteresting
冷たい	つめたい	tsumetai	cold
強い	つよい	tsuyoi	strong
手	て	te	hand
出かける	でかける	dekakeru	to go out
手紙	てがみ	tegami	letter
出来る	できる	dekiru	can
出口	でぐち	deguchi	exit
出ます	でます	demasu	to leave
天気	てんき	tenki	weather
電気	でんき	denki	electricity
電車	でんしゃ	densha	train
電話	でんわ	denwa	phone
戸	と	to	door
動物	どうぶつ	doubutsu	animal
十	とお	too	ten
遠い	とおい	tooi	far
十日	とおか	tooka	the 10th day of a month, 10 days
時々	ときどき	tokidoki	sometimes
時計	とけい	tokei	watch, clock
所	ところ	tokoro	place
図書館	としょかん	toshokan	library
隣り	となり	tonari	next to
飛ぶ	とぶ	tobu	to fly
止まる	とまる	tomaru	to stop
友達	ともだち	tomodachi	friend
土曜日	どようび	doyoubi	Saturday
鳥	とり	tori	bird
鶏肉	とりにく	toriniku	chicken meat
取る	とる	toru	to take
撮る	とる	toru	to take a photo
中	なか	naka	inside
長い	ながい	nagai	long
鳴く	なく	naku	to sing, mew, moo
夏	なつ	natsu	summer
夏休み	なつやすみ	natsuyasumi	summer vacation
七つ	ななつ	nanatsu	seven
何	なに	nani	what?
七日	なのか	nanoka	the 7th of a month, 7 days
名前	なまえ	namae	name
習う	ならう	narau	to learn
並ぶ	ならぶ	narabu	to form a line
並べる	ならべる	naraberu	to line up
二	に	ni	two
賑やか	にぎやか	nigiyaka	lively
お肉	おにく	oniku	meat
西	にし	nishi	west
日曜日	にちようび	nichiyoubi	Sunday
荷物	にもつ	nimotsu	luggage
庭	にわ	niwa	garden
