Kanji	Furigana	Romaji	Meaning
明け方	あけがた	akegata	dawn
青白い	あおじろい	aojiroi	pale
足跡	あしあと	ashiato	footprints
売買	ばいばい	baibai	trade
売店	ばいてん	baiten	stand
募集	ぼしゅう	boshuu	recruitment
長男	ちょうなん	chounan	eldest son
楕円	だえん	daen	ellipse
大学院	だいがくいん	daigakuin	graduate school
出入口	でいりぐち	deiriguchi	exit and entrance
宴会	えんかい	enkai	party
円周	えんしゅう	enshuu	circumference
遠足	えんそく	ensoku	excursion
学科	がっか	gakka	study subject
学会	がっかい	gakkai	scientific society
学力	がくりょく	gakuryoku	scholarly ability
外科	げか	geka	surgery
花火	はなび	hanabi	fireworks
半径	はんけい	hankei	radius
半島	はんとう	hantou	peninsula
発売	はつばい	hatsubai	sale
早口	はやぐち	hayaguchi	fast-talking
外れる	はずれる	hazureru	to be disconnected
昼寝	ひるね	hirune	nap, siesta
意地悪	いじわる	ijiwaru	malicious
移転	いてん	iten	moving
一旦	いったん	ittan	once
寺院	じいん	ji'in	Buddhist temple
人文科学	じんぶんかがく	jinbunkagaku	humanities
自習	じしゅう	jishuu	self-study
時速	じそく	jisoku	speed (per hour)
実習	じっしゅう	jisshuu	practice
過半数	かはんすう	kahansuu	majority
会館	かいかん	kaikan	meeting hall
回転	かいてん	kaiten	rotation
加速	かぞく	kasoku	acceleration
加速度	かそくど	kasokudo	acceleration
国王	こくおう	kokuou	king
国立	こくりつ	kokuritsu	national
国籍	こくせき	kokuseki	nationality
転がる	ころがる	korogaru	to roll
転がす	ころがす	korogasu	to roll
校舎	こうしゃ	kousha	school building
校庭	こうてい	koutei	schoolyard
待合室	まちあいしつ	machiaishitsu	waiting room
待ち合わせる	まちあわせる	machiawaseru	to rendezvous
窓口	まどぐち	madoguchi	ticket window
毎度	まいど	maido	each time
真っ青	まっさお	massao	deep blue
真っ白	まっしろ	masshiro	pure white
名刺	めいし	meishi	business card
店屋	みせや	miseya	store
木材	もくざい	mokuzai	lumber
内科	ないか	naika	internal medicine
並木	なみき	namiki	roadside tree
入社	にゅうしゃ	nyuusha	joining a company
押さえる	おさえる	osaeru	to pin down
理科	りか	rika	science (department)
領収	りょうしゅう	ryoushuu	receipt (of money)
再三	さいさん	saisan	again and again
早速	さっそく	sassoku	at once
刺す	さす	sasu	to pierce
青少年	せいしょうねん	seishounen	youth
赤道	せきどう	sekidou	equator
社会科学	しゃかいかがく	shakaikagaku	social science
社説	しゃせつ	shasetsu	editorial
白髪	しらが	shiraga	white hair
自然科学	しぜんかがく	shizenkagaku	natural science
書店	しょてん	shoten	bookshop
商社	しょうしゃ	shousha	trading company
商店	しょうてん	shouten	shop
集合	しゅうごう	shuugou	gathering
習字	しゅうじ	shuuji	calligraphy
集会	しゅうかい	shuukai	meeting
父母	そぼ	sobo	father and mother
速力	そくりょく	sokuryoku	speed
速達	そくたつ	sokutatsu	express
足る	たる	taru	to be sufficient
特売	とくばい	tokubai	special sale
透明	とうめい	toumei	transparent
東洋	とうよう	touyou	Orient
売れ行き	うれゆき	ureyuki	sales
売上	うりあげ	uriage	amount sold
売り切れ	うりきれ	urikire	sold out
売り切れる	うりきれる	urikireru	to be sold out
我が	わが	waga	my
輸血	ゆけつ	yuketsu	blood transfusion
輸送	ゆそう	yusou	transport
材木	ざいもく	zaimoku	lumber
