Kanji	Furigana	Romaji	Meaning
会 う	あ う	au	to meet
青 い	あお い	aoi	blue
赤 い	あか い	akai	red
明 る い	あか る い	akarui	light, bright
秋	あき	aki	autumn, fall
開 く	あ く	aku	open
開 け る	あ け る	akeru	to open
朝	あさ	asa	morning
朝 ご 飯	あさ ご はん	asagohan	breakfast
足	あし	ashi	leg, foot
明日	あした	ashita	tomorrow
遊 ぶ	あそ ぶ	asobu	to play
温 か い	あたた か い	atatakai	warm
頭	あたま	atama	head
新 し い	あたら し い	atarashii	new
暑 い	あつ い	atsui	hot (air)
厚 い	あつ い	atsui	thick
後	あと	ato	later, after
貴方	あなた	anata	you
兄	あに	ani	older brother
姉	あね	ane	older sister
浴 び る	あ び る	abiru	to take a shower
危 な い	あぶ な い	abunai	dangerous
甘 い	あま い	amai	sweet
雨	あめ	ame	rain
洗 う	あら う	arau	to wash
有 る	あ る	aru	to be, to exist
歩 く	ある く	aruku	to walk
良 い	いい / よ い	ii, yoi	good
言 う	い う	iu	to say, to tell
家	いえ	ie	house, home
行 く	い く	iku	to go
池	いけ	ike	pond
医者	いしゃ	isha	doctor
椅子	いす	isu	chair
忙 し い	いそが し い	isogashii	to be busy
痛 い	いた い	itai	to be painful
一	いち	ichi	one
一日	いちにち	ichinichi	one day
一番	いちばん	ichiban	No. 1, the best, the first
五日	いつか	itsuka	the 5th day of the month, 5 days
一緒	いっしょ	issho	together
五 つ	いつ つ	itsutsu	five
今	いま	ima	now
意味	いみ	imi	meaning
妹	いもうと	imouto	someone’s younger sister
入口	いりぐち	iriguchi	entrance
入 れ る	い れ る	ireru	to insert, to put in
色	いろ	iro	color
色々	いろいろ	iroiro	various
上	うえ	ue	top, on, above
後 ろ	うし ろ	ushiro	back, rear, behind
薄 い	うす い	usui	thin
歌	うた	uta	song
歌 う	うた う	utau	to sing
内	うち	uchi	home
生 ま れ る	う ま れ る	umareru	to be born
海	うみ	umi	sea
売 る	う る	uru	to sell
上着	うわぎ	uwagi	coat, jacket
絵	え	e	picture
映画	えいが	eiga	movie
映画館	えいがかん	eigakan	cinema
英語	えいご	eigo	English language
駅	えき	eki	station
円	えん	en	Yen
鉛筆	えんぴつ	enpitsu	pencil
御	お	o	honorific prefix
美味 し い	おい し い	oishii	tasty, delicious
大 き い	おお き い	ookii	big
お 母 さ ん	お かあ さ ん	okaasan	my own mother
お 菓子	お かし	okashi	confectionary, cake
お 金	お かね	okane	money
起 き る	お き る	okiru	to get up, to stand up
置 く	お く	oku	to put, to place
奥 さ ん	おく さ ん	okusan	someone’s wife
送 る	おく る	okuru	to send
お 酒	お さけ	osake	alcohol, sake
お 皿	お さら	osara	plate
伯父 さ ん	おじ さ ん	ojisan	uncle
押 す	お す	osu	to push
遅 い	おそ い	osoi	late, slow
お 茶	お ちゃ	ocha	tea
お 手洗 い	お てあら い	otearai	toilet, lavatory
お 父 さ ん	お とう さ ん	otousan	father
弟	おとうと	otouto	someone’s younger brother
男	おとこ	otoko	man
男 の 子	おとこ の こ	otokonoko	boy
一昨日	おととい	ototoi	the day before yesterday
一昨年	おととし	ototoshi	the year before last
大人	おとな	otona	adult
お 腹	お なか	onaka	stomach
同 じ	おな じ	onaji	same
お 兄 さ ん	お にい さ ん	oniisan	someone’s elder brother
お 姉 さ ん	お ねえ さ ん	oneesan	someone’s elder sister
伯母 さ ん	おば さ ん	obasan	aunt
お 弁当	お べんとう	obentou	lunchbox
覚 え る	おぼ え る	oboeru	to memorize, to remember
重 い	おも い	omoi	heavy
面白 い	おもしろ い	omoshiroi	interesting, funny
泳 ぐ	およ ぐ	oyogu	to swim
降 り る	お り る	oriru	to get off
終 わ る	お わ る	owaru	to end
音楽	おんがく	ongaku	music
女	おんな	onna	woman
女 の 子	おんな の こ	onnanoko	girl
外国	がいこく	gaikoku	foreign country
外国人	がいこくじん	gaikokujin	foreigner
会社	かいしゃ	kaisha	company, enterprise
階段	かいだん	kaidan	stairs
買物	かいもの	kaimono	shopping
買 う	か う	kau	to buy
返 す	かえ す	kaesu	to return an object
帰 る	かえ る	kaeru	to return home
顔	かお	kao	face
鍵	かぎ	kagi	key
書 く	か く	kaku	to write
学生	がくせい	gakusei	student
傘	かさ	kasa	umbrella
貸 す	か す	kasu	to lend
風	かぜ	kaze	wind
風邪	かぜ	kaze	a cold
家族	かぞく	kazoku	family
方	かた	kata	person (polite)
片仮名	かたかな	katakana	Katakana
一月	いちがつ	ichigatsu	January
二月	にがつ	nigatsu	February
三月	さんがつ	sangatsu	March
四月	しがつ	shigatsu	April
五月	ごがつ	gogatsu	May
六月	ろくがつ	rokugatsu	June
七月	しちがつ	shichigatsu	July
八月	はちがつ	hachigatsu	August
九月	くがつ	kugatsu	September
十月	じゅうがつ	juugatsu	October
十一月	じゅういちがつ	juuichigatsu	November
十二月	じゅうにがつ	juunigatsu	December
学校	がっこう	gakkou	school
角	かど	kado	corner
家内	かない	kanai	my wife
鞄	かばん	kaban	bag
花瓶	かびん	kabin	vase
冠 る	かぶ る	kaburu	to put on a hat
紙	かみ	kami	paper
火曜日	かようび	kayoubi	Tuesday
辛 い	から い	karai	hot, spicy
体	からだ	karada	body
借 り る	か り る	kariru	to borrow
軽 い	かる い	karui	light (not heavy)
川	かわ	kawa	river
可愛 い	かわい い	kawaii	cute, pretty
漢字	かんじ	kanji	Kanji character
木	き	ki	tree
黄色 い	きいろ い	kiiroi	yellow
消 え る	き え る	kieru	to go out, to vanish
聞 く	き く	kiku	to hear, to listen, to ask
北	きた	kita	north
汚 い	きたな い	kitanai	dirty
喫茶店	きっさてん	kissaten	coffee shop
切手	きって	kitte	stamp
切符	きっぷ	kippu	ticket
昨日	きのう	kinou	yesterday
九	きゅう	kyuu	nine
牛肉	ぎゅうにく	gyuuniku	beef
牛乳	ぎゅうにゅう	gyuunyuu	milk
今日	きょう	kyou	today
教室	きょうしつ	kyoushitsu	class room
兄弟	きょうだい	kyoudai	siblings
去年	きょねん	kyonen	last year
嫌 い	きら い	kirai	unpleasant, not likable
切 る	き る	kiru	to cut
着 る	き る	kiru	to wear, to put on
来 る	く る	kuru	to come
銀行	ぎんこう	ginkou	bank
金曜日	きんようび	kinyoubi	Friday
九	く	ku	nine
薬	くすり	kusuri	medicine
下 さ い	くだ さ い	kudasai	give me…
果物	くだもの	kudamono	fruit
口	くち	kuchi	mouth
靴	くつ	kutsu	shoe
靴下	くつした	kutsushita	socks
国	くに	kuni	country
曇 り	くも り	kumori	cloudy weather
暗 い	くら い	kurai	dark
車	くるま	kuruma	car
黒 い	くろ い	kuroi	black
今朝	けさ	kesa	this morning
消 す	け す	kesu	to turn off, switch off
結婚	けっこん	kekkon	marriage
月曜日	げつようび	getsuyoubi	Monday
玄関	げんかん	genkan	entrance of a house
元気	げんき	genki	vigor, health, vitality
五	ご	go	five
公園	こうえん	kouen	park, large garden
交番	こうばん	kouban	police box
声	こえ	koe	voice
午後	ごご	gogo	afternoon
九日	ここのか	kokonoka	9th day of a month, 9 days
九 つ	ここの つ	kokonotsu	nine
ご 主人	ご しゅじん	goshujin	someone else’s husband
午前	ごぜん	gozen	morning, a.m.
答 え る	こた え る	kotaeru	to answer
今年	ことし	kotoshi	this year
言葉	ことば	kotoba	phrase, language
子供	こども	kodomo	child
御飯	ごはん	gohan	meal, cooked rice
困 る	こま る	komaru	to be in trouble
今月	こんげつ	kongetsu	this month
今週	こんしゅう	konshuu	this week
今晩	こんばん	konban	this evening
魚	さかな	sakana	fish
先	さき	saki	earlier, former
咲 く	さ く	saku	to blossom
作文	さくぶん	sakubun	composition
冊	〜さつ	~satsu	counter for books
雑誌	ざっし	zasshi	magazine
砂糖	さとう	satou	sugar
寒 い	さむ い	samui	cold
再来年	さらいねん	sarainen	the year after next year
三	さん	san	three
散歩	さんぽ	sanpo	to take a walk
四	し	shi	four
塩	しお	shio	salt
時間	じかん	jikan	time
仕事	しごと	shigoto	work
辞書	じしょ	jisho	dictionary
静 か	しず か	shizuka	quiet
下	した	shita	under, below
質問	しつもん	shitsumon	question
自転車	じてんしゃ	jitensha	bicycle
自動車	じどうしゃ	jidousha	car, vehicle
死 ぬ	し ぬ	shinu	to die, to pas away
字引	じびき	jibiki	dictionary
自分	じぶん	jibun	oneself
閉 ま る	し ま る	shimaru	to close
閉 め る	し め る	shimeru	to close
締 め る	し め る	shimeru	to fasten a seatbelt
写真	しゃしん	shashin	photo
十	じゅう	juu	ten
~週間	〜しゅうかん	~shuukan	… weeks
授業	じゅぎょう	jugyou	lesson, class
宿題	しゅくだい	shukudai	homework
上手	じょうず	jouzu	to be good at something
丈夫	じょうぶ	joubu	to be strong, durable
醤油	しょうゆ	shouyu	soy sauce
食堂	しょくどう	shokudou	dining room, canteen
知 る	し る	shiru	to know
白 い	しろ い	shiroi	white
新聞	しんぶん	shinbun	newspaper
水曜日	すいようび	suiyoubi	Wednesday
吸 う	す う	suu	to breathe, to smoke
好 き	す き	suki	to like
少 し	すこ し	sukoshi	a little
涼 し い	すず し い	suzushii	cool
住 む	す む	sumu	to live, to reside somewhere
座 る	すわ る	suwaru	to sit
背	せい	sei	height
生徒	せいと	seito	student
石鹸	せっけん	sekken	soap
背広	せびろ	sebiro	jacket, suit
狭 い	せま い	semai	narrow
千	せん	sen	1,000, thousand
先月	せんげつ	sengetsu	last month
先週	せんしゅう	senshuu	last week
先生	せんせい	sensei	teacher
洗濯	せんたく	sentaku	washing, to wash
全部	ぜんぶ	zenbu	all
掃除	そうじ	souji	to clean
外	そと	soto	outside
空	そら	sora	sky
大学	だいがく	daigaku	university
大使館	たいしかん	taishikan	embassy
大丈夫	だいじょうぶ	daijoubu	OK
大好 き	だいす き	daisuki	to be very fond of
大切	たいせつ	taisetsu	very important
台所	だいどころ	daidokoro	kitchen
大変	たいへん	taihen	very, serious
高 い	たか い	takai	high, expensive
沢山	たくさん	takusan	many, much
出 す	だ す	dasu	to take out, hand in
立 つ	た つ	tatsu	to stand
建物	たてもの	tatemono	building
楽 し い	たの し い	tanoshii	pleasant, enjoyable
頼 む	たの む	tanomu	to ask, to request
多分	たぶん	tabun	perhaps, probably
食 べ 物	た べ もの	tabemono	food
食 べ る	た べ る	taberu	to eat
卵	たまご	tamago	egg
誰	だれ	dare	who?
誕生日	たんじょうび	tanjoubi	birthday
小 さ い	ちい さ い	chiisai	small
近 い	ちか い	chikai	near, close
違 う	ちが う	chigau	different
地下鉄	ちかてつ	chikatetsu	subway
地図	ちず	chizu	map
父	ちち	chichi	my father
茶色	ちゃいろ	chairo	brown
茶碗	ちゃわん	chawan	rice bowl
一日	ついたち	tsuitachi	the 1st day of a month
使 う	つか う	tsukau	to use
疲 れ る	つか れ る	tsukareru	to get tired
次	つぎ	tsugi	next
着 く	つ く	tsuku	to arrive
机	つくえ	tsukue	table
作 る	つく る	tsukuru	to make, to produce
点 け る	つ け る	tsukeru	to turn on
勤 め る	つと め る	tsutomeru	to work for someone
詰 ら な い	つま ら な い	tsumaranai	uninteresting
冷 た い	つめ た い	tsumetai	cold
強 い	つよ い	tsuyoi	strong
手	て	te	hand
出 か け る	で か け る	dekakeru	to go out
手紙	てがみ	tegami	letter
出来 る	でき る	dekiru	can
出口	でぐち	deguchi	exit
出 ま す	で ま す	demasu	to leave
天気	てんき	tenki	weather
電気	でんき	denki	electricity
電車	でんしゃ	densha	train
電話	でんわ	denwa	phone
戸	と	to	door
動物	どうぶつ	doubutsu	animal
十	とお	too	ten
遠 い	とお い	tooi	far
十日	とおか	tooka	the 10th day of a month, 10 days
時々	ときどき	tokidoki	sometimes
時計	とけい	tokei	watch, clock
所	ところ	tokoro	place
図書館	としょかん	toshokan	library
隣 り	とな り	tonari	next to
飛 ぶ	と ぶ	tobu	to fly
止 ま る	と ま る	tomaru	to stop
友達	ともだち	tomodachi	friend
土曜日	どようび	doyoubi	Saturday
鳥	とり	tori	bird
鶏肉	とりにく	toriniku	chicken meat
取 る	と る	toru	to take
撮 る	と る	toru	to take a photo
中	なか	naka	inside
長 い	なが い	nagai	long
鳴 く	な く	naku	to sing, mew, moo
夏	なつ	natsu	summer
