Japanese	English
あかり	light
あきらか	clear
あくま	devil
あんき	memorization
あらた	new
あらゆる	all
あつまり	gathering
ぶぶん	portion
ぶん	part
ぶんめい	civilization
ぶんせき	analysis
ぶんや	field
ちちおや	father
ちい	(social) position
ちょうき	long-term
ちゅう	during
ちゅうがく	junior high school
ちゅうしょく	lunch
だいぶぶん	most part
だめ	no good
だんし	youth
であい	meeting
であう	to meet (by chance)
どくしょ	reading
どりょく	effort
どういつ	identical
えん	yen
ふり	disadvantage
ふそく	insufficiency
ふたたび	again
がいこう	diplomacy
がいしゅつ	going out
がっき	school term
がく	learning
がくもん	scholarship
がくしゃ	scholar
がくしゅう	study
ぎちょう	chairman
ぎかい	congress
はげしい	violent
ははおや	mother
はくぶつかん	museum
はんばい	sales
はつめい	invention
はずす	to remove
ひん	elegance, article
ひとこと	single word
ひとりひとり	one by one
ほんもの	genuine article
いっち	agreement
いちじ	one o'clock
いがい	unexpected
いっか	a family
いまに	before long
いまにも	at any moment
いっぱん	general
いっぽう	one (esp. of two)
いっしょう	whole life
いっしゅ	species
いっしゅん	instant
いっそう	much more
いったい	(what) the heck
いわゆる	what is called
じゃま	hindrance
かがく	chemistry
かい	meeting
かいいん	member
かいがい	foreign
かいごう	meeting
かいけい	finance
かいし	start
かもく	(school) subject
けんり	right
きほん	basics
きじ	article
きみ	sensation
きねん	commemoration
きにいる	to like
きにゅう	entry
きおく	memory
きしゃ	reporter
きたい	expectation
こっか	state
こっかい	National Diet
こっきょう	national border
こくご	national language
こんご	from now on
こんかい	now
こんにち	today
ころぶ	to fall down
こうそく	high-speed
くんれん	training
きょうかしょ	textbook
きょうりょく	cooperation
きょうりょく	powerful
きゅうげき	sudden
きゅうに	swiftly
きゅうしゅう	absorption
まじめ	serious
まっか	bright red
まなぶ	to study (in depth)
まんいち	emergency
まんぞく	satisfaction
めいかく	clear
めし	cooked rice
みかた	friend
みりょく	charm
もくよう	Thursday
なかば	middle
ねっしん	enthusiastic
にほん	Japan
のうりょく	ability
にゅうじょう	entrance
おひる	lunch
おさめる	to supply
れんぞく	continuation
りえき	profit
りこう	clever
りゅうがく	studying abroad
さくひん	work of art
さゆう	left and right
せいちょう	growth
せいひん	manufactured goods
せいねん	youth
しげき	stimulus
しほん	funds
しな	article
しんちょう	body height
しんせん	fresh
してん	branch office
しよう	use
しょくひん	food
しょもつ	book
しょるい	document
しょさい	study
しょうばい	trade
しょうがくきん	scholarship
しょうご	midday
しょうひん	commodity
しょうじょ	little girl
しょうめい	proof
しょうねん	boy
しょうしょう	just a minute
しょうたい	invitation
しゅう	week
しゅうちゅう	concentration
しゅうだん	group
しゅうかく	harvest
しゅうかん	week
しゅうかん	weekly publication
しゅうにゅう	income
そくど	speed
すこしも	anything of
たいはん	majority
たいかい	convention
たいした	considerable
たんなる	mere
たしょう	more or less
てじな	magic trick
てつがく	philosophy
とち	plot of land
とかい	(big) city
とれる	to come off
とりあげる	to pick up
としょ	books
つうがく	commuting to school
うけとる	to receive
うまい	skillful
うんてん	operation
うれる	to sell (well)
わける	to divide
わるぐち	slander
よあけ	dawn
よぶん	extra
よなか	middle of the night
よろしい	(respectful) OK
ゆいいつ	only
ゆにゅう	import
ゆしゅつ	export
ゆうり	advantageous
ぜんこく	the whole country
ずいぶん	very
