Kanji	Furigana	Romaji	Meaning
挨拶	あいさつ	aisatsu	greeting
間	あいだ	aida	between
合 う	あ う	au	 fit
会 う	あ う	au	to meet
青 い	あお い	aoi	blue
赤 い	あか い	akai	red
赤 ち ゃ ん	あか ち ゃ ん	akachan	baby
上 が る	あ が る	agaru	to go up
明 る い	あか る い	akarui	light
赤 ん 坊	あか ん ぼう	akanbou	baby
秋	あき	aki	autumn
開 く	あ く	aku	open
空 く	あ く	aku	empty
開 け る	あ け る	akeru	to open
上 げ る	あ げ る	ageru	to rise
朝	あさ	asa	morning
朝 ご 飯	あさ ご はん	asagohan	breakfast
朝寝坊	あさねぼう	asanebou	a late riser
足	あし	ashi	leg
味	あじ	aji	taste
明日	あした	ashita	tomorrow
明日	あす	asu	tomorrow (polite)
遊 ぶ	あそ ぶ	asobu	to play
温 か い	あたた か い	atatakai	warm
頭	あたま	atama	head
新 し い	あたら し い	atarashii	new
暑 い	あつ い	atsui	hot (air)
厚 い	あつ い	atsui	thick
後	あと	ato	later
貴方	あなた	anata	you
兄	あに	ani	older brother
姉	あね	ane	older sister
浴 び る	あ び る	abiru	to take a shower
危 な い	あぶ な い	abunai	dangerous
甘 い	あま い	amai	sweet
雨	あめ	ame	rain
洗 う	あら う	arau	to wash
有 る	あ る	aru	to be
歩 く	あり く	aruku	to walk
良 い	いい/よ い	ii,yoi	good
言 う	い う	iu	to say
家	いえ	ie	house
行 く	い く	iku	to go
池	いけ	ike	pond
医者	いしゃ	isha	doctor
椅子	いす	isu	chair
忙 し い	いそが し い	isogashii	to be busy
痛 い	いた い	itai	to be painful
一	いち	ichi	one
一日	いちにち	ichinichi	one day
一緒	いっしょ	issho	together
五 つ	いつ つ	itsutsu	five
今	いま	ima	now
意味	いみ	imi	meaning
入口	いりぐち	iriguchi	entrance
色	いろ	iro	color
色々	いろいろ	iroiro	various
上	うえ	ue	top
後 ろ	うし ろ	ushiro	back
薄 い	うす い	usui	thin
歌	うた	uta	song
歌 う	うた う	utau	to sing
内	うち	uchi	home
生 ま れ る	う ま れ る	umareru	to be born
海	うみ	umi	sea
売 る	う る	uru	to sell
上着	うわぎ	uwagi	coat
絵	え	e	picture
映画	えいが	eiga	movie
映画館	えいがかん	eigakan	cinema
英語	英語	eigo	English language
駅	えき	eki	station
円	えん	en	Yen
鉛筆	えんぴつ	enpitsu	pencil
御	お	o	honorific prefix
美味 し い	おい し い	oishii	tasty
大 き い	おお き い	ookii	big
お 母 さ ん	お かあ さ ん	okaasan	my own mother
お お お お 菓子	o k a s hi	okashi	confectionary
お 金	お かね	okane	money
奥 さ ん	おく さ ん	okusan	someone’s wife
送 る	おく る	okuru	to send
お 酒	お さけ	osake	alcohol
お 皿	お さら	osara	plate
伯父 さ ん	おじ さ ん	ojisan	uncle
押 す	お す	osu	to push
遅 い	おそ い	osoi	late
お 茶	お ちゃ	ocha	tea
お 手洗 い	お てあら い	otearai	toilet
お 父 さ ん	お とう さ ん	otousan	father
男	おとこ	otoko	man
男 の 子	おとこ の こ	otokonoko	boy
大人	おとな	otona	adult
お 腹	お なか	onaka	stomach
同 じ	おな じ	onaji	same
伯母 さ ん	おば さ ん	obasan	aunt
お 弁当	お べんとう	obentou	lunchbox
重 い	おも い	omoi	heavy
面白 い	おもしろ い	omoshiroi	interesting
泳 ぐ	およ ぐ	oyogu	to swim
降 り る	お り る	oriru	to get off
終 わ る	お わ る	owaru	to end
音楽	おんがく	ongaku	music
女	おんな	onna	woman
女 の 子	おんな の こ	onnanoko	girl
〜回	〜かい	~kai	~times
〜階	〜かい	~kai	~floor
外国	がいこく	gaikoku	foreign country
外国人	がいこくじん	gaikokujin	foreigner
会社	かいしゃ	kaisha	company
階段	かいだん	kaidan	stairs
買物	かいもの	kaimono	shopping
買 う	か う	kau	to buy
返 す	かえ す	kaesu	to return an object
帰 る	かえ る	kaeru	to return home
顔	かお	kao	face
鍵	かぎ	kagi	key
書 く	か く	kaku	to write
学生	がくせい	gakusei	student
〜 か 月	〜 か げつ	~kagetsu	~ number of months
傘	かさ	kasa	umbrella
貸 す	か す	kasu	to lend
風	かぜ	kaze	wind
風邪	かぜ	kaze	a cold
家族	かぞく	kazoku	family
方	かた	kata	person (polite)
片仮名	かたかな	katakana	Katakana
一月	いちがつ	ichigatsu	January
二月	にがつ	nigatsu	February
三月	さんがつ	sangatsu	March
四月	しがつ	shigatsu	April
五月	ごがつ	gogatsu	May
六月	ろくがつ	rokugatsu	June
七月	しちがつ	shichigatsu	July
八月	はちがつ	hachigatsu	August
九月	くがつ	kugatsu	September
十月	じゅうがつ	juugatsu	October
十一月	じゅういちがつ	juuichigatsu	November
十二月	じゅうにがつ	juunigatsu	December
学校	がっこう	gakkou	school
角	かど	kado	corner
家内	かない	kanai	my wife
鞄	かばん	kaban	bag
花瓶	かびん	kabin	vase
冠 る	かぶ る	kaburu	to put on a hat
紙	かみ	kami	paper
火曜日	かようび	kayoubi	Tuesday
辛 い	から い	karai	hot
体	からだ	karada	body
借 り る	か り る	kariru	to borrow
軽 い	かる い	karui	light (not heavy)
川	かわ	kawa	river
〜側	~がわ	~gawa	~side
可愛 い	かわい い	kawaii	cute
漢字	かんじ	kanji	Kanji character
気	き	ki	 Spirit
機会	きかい	kikai	Opportunity
危険	きけん	Kiken	Danger
聞 こ え る	き こ え る	kikoeru	to be heard
汽車	きしゃ	kisha	steam train
季節	きせつ	kisetsu	season
規則	きそく	kisoku	regulations
絹	きぬ	kinu	Silk
厳 し い	きび し い	kibishii	strict
気分	きぶん	kibun	mood
決 ま る	き ま る	kimaru	to be decided
君	きみ	kimi	You (informal)
決 め る	き め る	kimeru	to decide
気持 ち	きも ち	kimochi	feeling
着物	きもの	kimono	a kimono
客	きゃく	kyaku	guest
急	きゅう	kyuu	urgent
急行	きゅうこう	kyuukou	speedy
教育	きょういく	kyouiku	education
教会	きょうかい	kyoukai	church
競争	きょうそう	kyousou	competition
興味	きょうみ	kyoumi	an interest
近所	きんじょ	kinjo	neighbourhood
具合	ぐあい	guai	condition
空気	くうき	kuuki	air
空港	くうこう	kuukou	airport
草	くさ	kusa	grass
首	くび	kubi	neck
雲	くも	kumo	cloud
比 べ る	くら べ る	kuraberu	to compare
毛	け	ke	hair or fur
計画	けいかく	keikaku	plan
経験	けいけん	keiken	experience
経済	けいざい	keizai	finance
警察	けいさつ	keisatsu	police
怪我	けが	kega	an injury
景色	けしき	keshiki	landscape
消 し ゴム	け し ごむ	keshigomu	an eraser
下宿	げしゅく	geshuku	lodging
決 し て	けっ し て	kesshite	never
原因	げんいん	genin	source
喧嘩	けんか	kenka	a quarrel
研究	けんきゅう	kenkyuu	research
研究室	けんきゅうしつ	kenkyuushitsu	laboratory
見物	けんぶつ	kenbutsu	sightseeing
子	こ	ko	child
郊外	こうがい	kougai	outskirts
講義	こうぎ	kougi	lecture
高校	こうこう	koukou	high school
工場	こうじょう	koujyou	factory
校長	こうちょう	kouchou	headmaster
講堂	こうどう	koudou	auditorium
公務員	こうむいん	koumuin	Government worker
国際	こくさい	kokusai	international
心	こころ	kokoro	core
答	こたえ	kotae	response
小鳥	ことり	kotori	small
細 か い	こま か い	komakai	smal
込 む	こ む	komu	to be crowded
米	こめ	kome	uncooked rice
ご 覧 に な る	ご らん に な る	goranninaru	to see(respectful)
怖 い	こわ い	kowai	frightening
壊 す	こわ す	kowasu	to break
壊 れ る	こわ れ る	kowareru	to be broken
今度	こんど	kondo	now
今夜	こんや	konya	tonight
最近	さいきん	Saikin	nowadays
最後	さいご	saigo	last
最初	さいしょ	saisho	beginning
坂	さか	saka	slope
探 す	さが す	sagasu	to look for
下 が る	さ が る	sagaru	to get down
盛 ん	さか ん	sakan	popular
下 げ る	さ げ る	sageru	to lower
寂 し い	さび し い	sabishii	lonely
再来週	さらいしゅう	saraishuu	the week after next
触 る	さわ る	sawaru	to touch
産業	さんぎょう	sangyou	industry
