Kanji	Furigana	Romaji	Meaning
挨拶	あいさつ	aisatsu	greeting
間	あいだ	aida	between
合う	あう	au	 fit
会う	あう	au	to meet
青い	あおい	aoi	blue
赤い	あかい	akai	red
赤ちゃん	あかちゃん	akachan	baby
上がる	あがる	agaru	to go up
明るい	あかるい	akarui	light
赤ん坊	あかんぼう	akanbou	baby
秋	あき	aki	autumn
開く	あく	aku	open
空く	あく	aku	empty
開ける	あける	akeru	to open
上げる	あげる	ageru	to rise
朝	あさ	asa	morning
朝ご飯	あさごはん	asagohan	breakfast
朝寝坊	あさねぼう	asanebou	a late riser
足	あし	ashi	leg
味	あじ	aji	taste
明日	あした	ashita	tomorrow
明日	あす	asu	tomorrow (polite)
遊ぶ	あそぶ	asobu	to play
温かい	あたたかい	atatakai	warm
頭	あたま	atama	head
新しい	あたらしい	atarashii	new
暑い	あつい	atsui	hot (air)
厚い	あつい	atsui	thick
後	あと	ato	later
貴方	あなた	anata	you
兄	あに	ani	older brother
姉	あね	ane	older sister
浴びる	あびる	abiru	to take a shower
危ない	あぶない	abunai	dangerous
甘い	あまい	amai	sweet
雨	あめ	ame	rain
洗う	あらう	arau	to wash
有る	ある	aru	to be
歩く	ありく	aruku	to walk
良い	いい/よい	ii,yoi	good
言う	いう	iu	to say
家	いえ	ie	house
行く	いく	iku	to go
池	いけ	ike	pond
医者	いしゃ	isha	doctor
椅子	いす	isu	chair
忙しい	いそがしい	isogashii	to be busy
痛い	いたい	itai	to be painful
一	いち	ichi	one
一日	いちにち	ichinichi	one day
一緒	いっしょ	issho	together
五つ	いつつ	itsutsu	five
今	いま	ima	now
意味	いみ	imi	meaning
入口	いりぐち	iriguchi	entrance
色	いろ	iro	color
色々	いろいろ	iroiro	various
上	うえ	ue	top
後ろ	うしろ	ushiro	back
薄い	うすい	usui	thin
歌	うた	uta	song
歌う	うたう	utau	to sing
内	うち	uchi	home
生まれる	うまれる	umareru	to be born
海	うみ	umi	sea
売る	うる	uru	to sell
上着	うわぎ	uwagi	coat
絵	え	e	picture
映画	えいが	eiga	movie
映画館	えいがかん	eigakan	cinema
英語	英語	eigo	English language
駅	えき	eki	station
円	えん	en	Yen
鉛筆	えんぴつ	enpitsu	pencil
御	お	o	honorific prefix
美味しい	おいしい	oishii	tasty
大きい	おおきい	ookii	big
お母さん	おかあさん	okaasan	my own mother
お菓子	okashi	okashi	confectionary
お金	おかね	okane	money
奥さん	おくさん	okusan	someone’s wife
送る	おくる	okuru	to send
お酒	おさけ	osake	alcohol
お皿	おさら	osara	plate
伯父さん	おじさん	ojisan	uncle
押す	おす	osu	to push
遅い	おそい	osoi	late
お茶	おちゃ	ocha	tea
お手洗い	おてあらい	otearai	toilet
お父さん	おとうさん	otousan	father
男	おとこ	otoko	man
男の子	おとこのこ	otokonoko	boy
大人	おとな	otona	adult
お腹	おなか	onaka	stomach
同じ	おなじ	onaji	same
伯母さん	おばさん	obasan	aunt
お弁当	おべんとう	obentou	lunchbox
重い	おもい	omoi	heavy
面白い	おもしろい	omoshiroi	interesting
泳ぐ	およぐ	oyogu	to swim
降りる	おりる	oriru	to get off
終わる	おわる	owaru	to end
音楽	おんがく	ongaku	music
女	おんな	onna	woman
女の子	おんなのこ	onnanoko	girl
〜回	〜かい	~kai	~times
〜階	〜かい	~kai	~floor
外国	がいこく	gaikoku	foreign country
外国人	がいこくじん	gaikokujin	foreigner
会社	かいしゃ	kaisha	company
階段	かいだん	kaidan	stairs
買物	かいもの	kaimono	shopping
買う	かう	kau	to buy
返す	かえす	kaesu	to return an object
帰る	かえる	kaeru	to return home
顔	かお	kao	face
鍵	かぎ	kagi	key
書く	かく	kaku	to write
学生	がくせい	gakusei	student
〜か月	〜かげつ	~kagetsu	~ number of months
傘	かさ	kasa	umbrella
貸す	かす	kasu	to lend
風	かぜ	kaze	wind
風邪	かぜ	kaze	a cold
家族	かぞく	kazoku	family
方	かた	kata	person (polite)
片仮名	かたかな	katakana	Katakana
一月	いちがつ	ichigatsu	January
二月	にがつ	nigatsu	February
三月	さんがつ	sangatsu	March
四月	しがつ	shigatsu	April
五月	ごがつ	gogatsu	May
六月	ろくがつ	rokugatsu	June
七月	しちがつ	shichigatsu	July
八月	はちがつ	hachigatsu	August
九月	くがつ	kugatsu	September
十月	じゅうがつ	juugatsu	October
十一月	じゅういちがつ	juuichigatsu	November
十二月	じゅうにがつ	juunigatsu	December
学校	がっこう	gakkou	school
角	かど	kado	corner
家内	かない	kanai	my wife
鞄	かばん	kaban	bag
花瓶	かびん	kabin	vase
冠る	かぶる	kaburu	to put on a hat
紙	かみ	kami	paper
火曜日	かようび	kayoubi	Tuesday
辛い	からい	karai	hot
体	からだ	karada	body
借りる	かりる	kariru	to borrow
軽い	かるい	karui	light (not heavy)
川	かわ	kawa	river
〜側	~がわ	~gawa	~side
可愛い	かわいい	kawaii	cute
漢字	かんじ	kanji	Kanji character
気	き	ki	 Spirit
機会	きかい	kikai	Opportunity
危険	きけん	Kiken	Danger
聞こえる	きこえる	kikoeru	to be heard
汽車	きしゃ	kisha	steam train
季節	きせつ	kisetsu	season
規則	きそく	kisoku	regulations
絹	きぬ	kinu	Silk
厳しい	きびしい	kibishii	strict
気分	きぶん	kibun	mood
決まる	きまる	kimaru	to be decided
君	きみ	kimi	You (informal)
決める	きめる	kimeru	to decide
気持ち	きもち	kimochi	feeling
着物	きもの	kimono	a kimono
客	きゃく	kyaku	guest
急	きゅう	kyuu	urgent
急行	きゅうこう	kyuukou	speedy
教育	きょういく	kyouiku	education
教会	きょうかい	kyoukai	church
競争	きょうそう	kyousou	competition
興味	きょうみ	kyoumi	an interest
近所	きんじょ	kinjo	neighbourhood
具合	ぐあい	guai	condition
空気	くうき	kuuki	air
空港	くうこう	kuukou	airport
草	くさ	kusa	grass
首	くび	kubi	neck
雲	くも	kumo	cloud
比べる	くらべる	kuraberu	to compare
毛	け	ke	hair or fur
計画	けいかく	keikaku	plan
経験	けいけん	keiken	experience
経済	けいざい	keizai	finance
警察	けいさつ	keisatsu	police
怪我	けが	kega	an injury
景色	けしき	keshiki	landscape
消しゴム	けしごむ	keshigomu	an eraser
下宿	げしゅく	geshuku	lodging
決して	けっして	kesshite	never
原因	げんいん	genin	source
喧嘩	けんか	kenka	a quarrel
研究	けんきゅう	kenkyuu	research
研究室	けんきゅうしつ	kenkyuushitsu	laboratory
見物	けんぶつ	kenbutsu	sightseeing
子	こ	ko	child
郊外	こうがい	kougai	outskirts
講義	こうぎ	kougi	lecture
高校	こうこう	koukou	high school
工場	こうじょう	koujyou	factory
校長	こうちょう	kouchou	headmaster
講堂	こうどう	koudou	auditorium
公務員	こうむいん	koumuin	Government worker
国際	こくさい	kokusai	international
心	こころ	kokoro	core
答	こたえ	kotae	response
小鳥	ことり	kotori	small
細かい	こまかい	komakai	smal
込む	こむ	komu	to be crowded
米	こめ	kome	uncooked rice
ご覧になる	ごらんになる	goranninaru	to see(respectful)
怖い	こわい	kowai	frightening
壊す	こわす	kowasu	to break
壊れる	こわれる	kowareru	to be broken
今度	こんど	kondo	now
今夜	こんや	konya	tonight
最近	さいきん	Saikin	nowadays
最後	さいご	saigo	last
最初	さいしょ	saisho	beginning
坂	さか	saka	slope
探す	さがす	sagasu	to look for
下がる	さがる	sagaru	to get down
盛ん	さかん	sakan	popular
下げる	さげる	sageru	to lower
寂しい	さびしい	sabishii	lonely
再来週	さらいしゅう	saraishuu	the week after next
触る	さわる	sawaru	to touch
産業	さんぎょう	sangyou	industry
残念	ざんねん	zannen	disappointment
市	し	shi	city
字	じ	ji	city
試合	しあい	shiai	match
仕方	しかた	shikata	method
叱る	しかる	shikaru	to scold
試験	しけん	shiken	exam
事故	じこ	jiko	accident
地震	じしん	jishin	earthquake
時代	じだい	jidai	era
下着	したぎ	shitagi	underwear
支度	したく	shitaku	preparations
失敗	しっぱい	shippai	failure
辞典	じてん	jiten	dictionary
